,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Devil Fruit,Observation Haki,Armament Haki,Conquerers Haki,Origin,Age,Height,Blood Type,Fruit Type,Bounty
0,A.O.,551.0,A O Pirates,Pirate,Unknown,January 15,0,0,0,0,,,,,,
1,Abdullah,704.0,Ideo Pirates,Pirate,Alive,,0,0,0,0,,,,,,
2,Absalom,444.0,Thriller Bark Pirates (Mysterious Four)  (former),Reporter Soldier Zombies and General Zombies Commander,Deceased,December 30,1,0,0,0,West Blue,34.0,195.0,F,Paramecia,
3,Agilia,706.0,Corrida Colosseum,Gladiator,Alive,,0,0,0,0,,,,,,
4,Adelle,608.0,Mermaid Café,Dancer,Alive,,0,0,0,0,Grand Line,,,,,
5,Aegir,1134.0,,Student,Alive,,0,0,0,0,,,,,,
6,Ageha Woman,959.0,Beasts Pirates,Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
7,Aggie 68,552.0,Spade Pirates,Pirate,Alive,,0,0,0,0,,,,,,
8,Agotogi,163.0,Agotogi Sand Merchants,Thug Leader,Alive,,0,0,0,0,,,,,,
9,Agushily,578.0,Ally of the Whitebeard Pirates,Pirate,Alive,,0,0,0,0,,,,,,
10,Agyo,706.0,Corrida Colosseum,,Alive,November 29,0,0,0,0,,,,,,
11,Dumas Regal IX,587.0,Goa Kingdom (High Town),Noble,Alive,,0,0,0,0,,,,,,
12,Dumas Fayes,587.0,Goa Kingdom (High Town),Noble,Alive,,0,0,0,0,,,,,,
13,Ahiru,905.0,Revolutionary Army,East Army Deputy Commander,Alive,,0,0,0,0,,,,,,
14,Aisa,249.0,Shandia,,Alive,January 3,0,1,0,0,Sky Islands,9.0,140.0,F,,
15,Uweshall Notpass,548.0,,Marine Rear Admiral,Alive,,0,0,0,0,,,,,,0.0
16,Akudai Kanzaburo,926.0,,Arms dealer,Alive,,0,0,0,0,,,,,,
17,Akumai,129.0,Baroque Works (Billions) (former),,Alive,December 27,0,0,0,0,Grand Line,,,,,
18,Aladdin,620.0,Sun Pirates,Pirate,Alive,January 31,0,0,0,0,Grand Line,46.0,627.0,XF,,0.0
19,Albion,600.0,Fake Straw Hat Crew (Former),Pirate,Alive,November 9,0,0,0,0,,,,,,92000000.0
20,Alice,487.0,Galley-La Company,Secretary,Alive,,0,0,0,0,,8.0,,,,
21,Ally,658.0,,,Alive,,0,0,0,0,,,,,,
22,Alpaca-Man,934.0,Beasts Pirates,Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
23,Alpha,1100.0,CP8,Cipher Pol Agent,Alive,,0,0,0,0,,27.0,,,,
24,Alvida,2.0,Cross Guild,Pirate Captain,Alive,March 14,1,0,0,0,East Blue,25.0,198.0,S,Paramecia,5000000.0
25,Amadob,558.0,Ally of the Whitebeard Pirates,Pirate,Alive,June 20,0,0,0,0,,,,,,
26,Amazon,238.0,Wagomuland,Gatekeeper of Skypiea (former),Alive,August 4,0,0,0,0,Grand Line,77.0,120.0,X,,
27,Ratherby Seifer,528.0,,,Alive,January 31,0,0,0,0,Grand Line,,,,,15000000.0
28,Anba,969.0,,,Unknown,,0,0,0,0,,,,,,
29,Baskerville,379.0,World Government (Enies Lobby),Chief Justices of Enies Lobby,Unknown,March 30,0,0,0,0,Grand Line,48.0,512.0,Bas: X And: XF Kerville: F,,
30,Andre,558.0,Whitebeard Pirates,Pirate,Alive,May 19,0,0,0,0,,,,,,
31,Ange,1131.0,Walrus School,Language Teacher,Alive,,0,0,0,0,,,,,,
32,Anjo,1.0,,,Alive,January 1,0,0,0,0,East Blue,,,,,
33,Ankoro,606.0,Flying Pirates,Pet,Alive,November 23,0,0,0,0,,,,,,
34,Antonio,497.0,Antonio's Graman,Store owner,Alive,January 21,0,0,0,0,,,,,,
