,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Devil Fruit,Observation Haki,Armament Haki,Conquerers Haki,Origin,Age,Height,Blood Type,Fruit Type,Bounty
0,A.O.,551.0,"['A O Pirates', '  Subordinate of the Whitebeard Pirates']",Pirate,Unknown,January 15,0,0,0,0,,,,,,
1,Abdullah,704.0,"['Ideo Pirates', '   Straw Hat Grand Fleet']",Pirate,Alive,,0,0,0,0,,,,,,
2,Absalom,444.0,['Thriller Bark Pirates (Mysterious Four)  (former)'],Reporter Soldier Zombies and General Zombies Commander,Deceased,December 30,1,0,0,0,West Blue,34.0,195.0,F,Paramecia,
3,Agilia,706.0,['Corrida Colosseum'],Gladiator,Alive,,0,0,0,0,,,,,,
4,Adelle,608.0,['Mermaid Café'],Dancer,Alive,,0,0,0,0,Grand Line,,,,,
5,Aegir,1134.0,,Student,Alive,,0,0,0,0,,,,,,
6,Ageha Woman,959.0,['Beasts Pirates'],Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
7,Aggie 68,552.0,['Spade Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
8,Agotogi,163.0,['Agotogi Sand Merchants'],Thug Leader,Alive,,0,0,0,0,,,,,,
9,Agushily,578.0,['Ally of the Whitebeard Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
10,Agyo,706.0,['Corrida Colosseum'],,Alive,November 29,0,0,0,0,,,,,,
11,Dumas Regal IX,587.0,['Goa Kingdom (High Town)'],Noble,Alive,,0,0,0,0,,,,,,
12,Dumas Fayes,587.0,['Goa Kingdom (High Town)'],Noble,Alive,,0,0,0,0,,,,,,
13,Ahiru,905.0,['Revolutionary Army'],East Army Deputy Commander,Alive,,0,0,0,0,,,,,,
14,Aisa,249.0,"['Shandia', '  Wagomuland']",,Alive,January 3,0,1,0,0,Sky Islands,9.0,140.0,F,,
15,Uweshall Notpass,548.0,,Marine Rear Admiral,Alive,,0,0,0,0,,,,,,200000000.0
16,Akudai Kanzaburo,926.0,,Arms dealer,Alive,,0,0,0,0,,,,,,
17,Akumai,129.0,['Baroque Works (Billions) (former)'],,Alive,December 27,0,0,0,0,Grand Line,,,,,
18,Aladdin,620.0,"['Sun Pirates', ' Ryugu Kingdom (former)']",Pirate,Alive,January 31,0,0,0,0,Grand Line,46.0,627.0,XF,,0.0
19,Albion,600.0,"['Fake Straw Hat Crew (Former)', '  His own crew']",Pirate,Alive,November 9,0,0,0,0,,,,,,92000000.0
20,Alice,487.0,['Galley-La Company'],Secretary,Alive,,0,0,0,0,,8.0,,,,
21,Ally,658.0,,,Alive,,0,0,0,0,,,,,,
22,Alpaca-Man,934.0,['Beasts Pirates'],Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
23,Alpha,1100.0,['CP8'],Cipher Pol Agent,Alive,,0,0,0,0,,27.0,,,,
24,Alvida,2.0,"['Cross Guild', ""  Buggy's Delivery,  Buggy and Alvida Alliance"", ' Buggy Pirates (Acting Captain, temporarily)', ' Alvida Pirates (formerly)']",Pirate Captain,Alive,March 14,1,0,0,0,East Blue,25.0,198.0,S,Paramecia,5000000.0
25,Amadob,558.0,['Ally of the Whitebeard Pirates'],Pirate,Alive,June 20,0,0,0,0,,,,,,
26,Amazon,238.0,['Wagomuland'],Gatekeeper of Skypiea (former),Alive,August 4,0,0,0,0,Grand Line,77.0,120.0,X,,
27,Ratherby Seifer,528.0,,,Alive,January 31,0,0,0,0,Grand Line,,,,,15000000.0
28,Anba,969.0,,,Unknown,,0,0,0,0,,,,,,
29,Baskerville,379.0,['World Government (Enies Lobby)'],Chief Justices of Enies Lobby,Unknown,March 30,0,0,0,0,Grand Line,48.0,512.0,Bas: X And: XF Kerville: F,,
30,Andre,558.0,['Whitebeard Pirates'],Pirate,Alive,May 19,0,0,0,0,,,,,,
31,Ange,1131.0,['Walrus School'],Language Teacher,Alive,,0,0,0,0,,,,,,
32,Anjo,1.0,,,Alive,January 1,0,0,0,0,East Blue,,,,,
33,Ankoro,606.0,['Flying Pirates'],Pet,Alive,November 23,0,0,0,0,,,,,,
34,Antonio,497.0,"[""Antonio's Graman""]",Store owner,Alive,January 21,0,0,0,0,,,,,,
35,Aphelandra,514.0,"['Kuja', '  Kuja Pirates']","Warrior (Former),  Pirate",Alive,August 1,0,0,0,0,Calm Belt,,,,,
36,Aramaki,905.0,['Marines'],Admiral,Alive,February 29,1,1,1,0,South Blue,41.0,308.0,X,Logia,3000000000.0
37,Peekatha Krotch,707.0,['Corrida Colosseum'],,Alive,,0,0,0,0,,,,,,
38,Arlong,69.0,"['Arlong Pirates', '  Sun Pirates (former)', '  Impel Down (former)']",Pirate Captain,Alive,May 3,0,0,0,0,Grand Line,39.0,263.0,F,,20000000.0
39,Kicking Claw Force,196.0,['Arabasta Kingdom'],Guards,Deceased,,0,0,0,0,,,,,,
40,Arthur,556.0,['Whitebeard Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
41,Aruyutayan V,292.0,['Lvneel Kingdom'],King,Deceased,,0,0,0,0,North Blue,,,,,
42,Heercomes Dasun,483.0,['Marines'],Chief Petty Officer,Alive,,0,0,0,0,,,,,,100000.0
43,Asashichi,930.0,,Soba Shop Owner,Alive,,0,0,0,0,,,,,,
44,Ashura Doji,920.0,"['Mt. Atama Thieves', '  Kouzuki Family', '  Nine Red Scabbards ', ' Ninja-Pirate-Mink-Samurai Alliance (disbanded)']",Bandit,Deceased,April 10,0,1,1,0,Grand Line,,544.0,X,,
45,Asla,1153.0,['Elbaph Royal Family'],,Deceased,,0,0,0,0,,,,,,
46,Aswa,163.0,,,Unknown,,0,0,0,0,,,,,,
47,Atagoyama,915.0,,Sumo Wrestler,Alive,,0,0,0,0,,,,,,
48,,,,,,,0,0,0,0,,,,,,
49,Atmos,553.0,['Whitebeard Pirates'],13th Division Commander,Alive,March 19,0,0,0,0,West Blue,,,,,
50,AtatchiAttach,436.0,"['World Economy News Paper', ' Marines Photography Department (former)']",Reporter,Unknown,,0,0,0,0,,,,,,
51,Avalo Pizarro,575.0,"['Blackbeard Pirates ', ' Impel Down (former)']",Titanic Captain (Captain of the Fourth Ship),Alive,September 30,1,0,0,0,North Blue,40.0,505.0,X,Paramecia,0.0
52,Eiyess Emmar,,['Marines'],Okaki artisan,Alive,,0,0,0,0,,,,,,
53,Bean-Washing Hag,940.0,,,Alive,,0,0,0,0,,,,,,
54,Babanuki,934.0,"['Beasts Pirates ', ' Tama ', ' Ninja-Pirate-Mink-Samurai Alliance (disbanded)']",Shinuchi,Alive,,1,0,0,0,,,,,Artificial Zoan,
55,Babe,160.0,"['New Spiders Cafe', ' Baroque Works  (former)']",Cafe Delivery Boy ,Alive,June 19,0,0,0,0,Grand Line,28.0,218.0,F,,3200000.0
56,Baburu,690.0,,,Alive,,0,0,0,0,Grand Line,,,,,
57,Baby 5Baby Five,682.0,"['Happo Navy', '  Chinjao Family', '  Straw Hat Grand Fleet', ' Donquixote Pirates (defected)']",Pirate,Alive,May 15,1,0,0,0,North Blue,24.0,181.0,XF,Paramecia,
58,"Bacura,Bakula",516.0,['Kuja Pirates'],Pet,Alive,November 29,0,0,0,0,Calm Belt,,,,,
59,Baggaly,561.0,['Whitebeard Pirates'],Pirate Captain,Alive,,0,0,0,0,,,,,,
60,Bazeko,668.0,"['Marines', ' G-5']",Marine Officer,Alive,,0,0,0,0,,,,,,
61,Ban Dedessinée,823.0,['Levely'],Queen of the Frauce Kingdom,Alive,,0,0,0,0,East Blue,,,,,
62,BunchiBunch,114.0,['Baroque Works  (former)'],Transportation,Alive,,0,0,0,0,West Blue,,,,,
63,Bankina,41.0,,,Deceased,December 17,0,0,0,0,East Blue,,,,,
64,Bancro,967.0,['Roger Pirates'],Pirate,Unknown,,0,0,0,0,,,,,,
65,Banshee,552.0,['Spade Pirates'],,Alive,,0,0,0,0,,30.0,,,,
66,Banzaburo,960.0,['Kouzuki Family'],Retainer of the Kouzuki Family,Deceased,,0,0,0,0,,,,,,
67,"Gyoro, Nin, Bao",449.0,['Thriller Bark Pirates'],Soldier Zombies[citation needed],Deceased,,0,0,0,0,,,,,,
68,Bao Huang,979.0,['Beasts Pirates'],Shinuchi,Alive,,1,0,0,0,,,,,Artificial Zoan,
69,Barbell,1096.0,['Rocks Pirates (former)'],Pirate,Unknown,,0,0,0,0,,,,,,
70,Bariete,804.0,"['Mokomo Dukedom (Recon Squad)', ' Ninja-Pirate-Mink-Samurai Alliance']",Recon Squad ,Alive,,0,0,0,0,,,,,,
71,Kicking Claw Force,196.0,['Arabasta Kingdom'],Guards,Deceased,,0,0,0,0,,,,,,
72,Barry,552.0,['Spade Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
73,Bartholomew Kuma,233.0,"['Freedom Fighters (former)', ' Pacifista', '   Revolutionary Army', ' Seven Warlords of the Sea (former)', ' Sorbet Kingdom (former)']",Army Commander of the Revolutionary Army,Alive,February 9,1,1,1,0,South Blue,45.0,689.0,X,Paramecia,296000000.0
74,Bartolomeo,705.0,"['Barto Club', ' his own Mafia Family (former)', '  Straw Hat Grand Fleet']",Captain of the Second Ship of the Straw Hat Grand Fleet,Unknown,October 6,1,0,0,0,East Blue,24.0,220.0,X,Paramecia,200000000.0
75,Baskerville,379.0,['World Government (Enies Lobby)'],Chief Justices of Enies Lobby,Unknown,March 30,0,0,0,0,Grand Line,48.0,512.0,Bas: X And: XF Kerville: F,,
76,Basil Hawkins,498.0,"['Hawkins Pirates', '  Beasts Pirates']",Pirate,Unknown,September 9,1,1,1,0,North Blue,29.0,210.0,S,Paramecia,320000000.0
77,Basilisk,528.0,"['World Government, Impel Down']",Level 2 Guardian,Alive,,0,0,0,0,West Blue,,,,,
78,Bastille,553.0,['Marines'],Vice Admiral,Alive,July 14,0,1,1,0,Grand Line,36.0,291.0,F,,500000000.0
79,Bacchy,43.0,,,Unknown,July 1,0,0,0,0,East Blue,,,,,
80,Bat-ManBatman,914.0,['Beasts Pirates'],Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
81,Grasshopper-Man,980.0,"['Beasts Pirates', '  Kurozumi Tama']",Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
82,Baxcon,718.0,"['Tontatta Kingdom Scouting Unit ', ' Tontatta Pirates', ' Straw Hat Grand Fleet']",Scout ,Alive,,0,0,0,0,,,,,,
83,Beak Remark,599.0,,Fishmonger,Alive,,0,0,0,0,,,,,,
84,Bee-Girl,980.0,"['Beasts Pirates', '  Kurozumi Tama']",Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
85,Beer VI,823.0,,King of the Roshwan Kingdom,Alive,,0,0,0,0,,,,,,
86,Beetle-Man,983.0,['Beasts Pirates'],Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
87,Bekori,1097.0,['Sorbet Kingdom (former)'],King (former),Unknown,,0,0,0,0,,,,,,
88,Belo Betty,904.0,['Revolutionary Army (East Army)'],East Army Commander of the Revolutionary Army,Alive,June 15,1,1,1,0,East Blue,34.0,196.0,XF,Paramecia,457000000.0
89,Belladonna,514.0,['Kuja'],Doctor,Alive,October 26,0,0,0,0,Calm Belt,,,,,
90,Bellamy,222.0,"['Donquixote Pirates (former)', '  Bellamy Pirates  (former)']",Dyer,Alive,August 7,1,1,1,0,North Blue,25.0,240.0,F,Paramecia,195000000.0
91,BeretBellett,537.0,['Unnamed kingdom (former)'],Pirate,Alive,,0,0,0,0,,,,,,
92,Belle-Mère,77.0,['Marines (former)'],Mikan Farmer,Deceased,December 3,0,0,0,0,East Blue,,186.0,S,,
93,Benn Beckman,1.0,['Red Hair Pirates'],Pirate,Alive,November 9,0,0,0,0,North Blue,50.0,206.0,X,,0.0
94,Bent,1134.0,['Walrus School'],Student,Alive,,0,0,0,0,,,,,,
95,Bentham,129.0,"['Newkama Land', '  Baroque Works  (former)']",Queen of Newkama Land,Alive,August 15,1,0,0,0,East Blue,30.0,238.0,F,Paramecia,32000000.0
96,Bepo,498.0,"['Heart Pirates', ' Ninja-Pirate-Mink-Samurai Alliance(disbanded)']",Pirate,Alive,November 20,0,0,0,0,Grand Line,20.0,240.0,S,,1500.0
97,Bian,717.0,"['Tontatta Kingdom', '  Tontatta Pirates', ' Straw Hat Grand Fleet']",Leader of Pink Bee Squad,Alive,,1,0,0,0,,,,,Zoan,
98,Biblo,1134.0,['Owl Library'],Chief Librarian,Alive,,1,0,0,0,,0.0,,,Paramecia,
99,Big Bun,309.0,"['Foxy Pirates (former)', ' Groggy Monsters']",Pirate,Alive,May 25,0,0,0,0,,,,,,
100,,,['Yes Pirates'],Pirate Captain,Alive,,0,0,0,0,,,,,,3000000.0
101,,,,,Alive,,0,0,0,0,,,,,,
102,Bimine,657.0,['Pucci'],Mayor,Alive,,0,0,0,0,,,,,,
103,Bingoh,928.0,,Priest (former),Alive,,0,0,0,0,,,,,,
104,Birdy,101.0,['Poseidon'],,Alive,,0,0,0,0,,,,,,
105,Bishamon,931.0,"['Beasts Pirates', '  Orochi Oniwabanshu (former)', ' Kurozumi Family (former)']",Ninja,Alive,August 1,0,0,0,0,Grand Line,28.0,182.0,XF,,
106,Bishonure-Onna,998.0,['Beasts Pirates'],Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
107,Bisley,993.0,"['Beasts Pirates (Armored Division)', '  Kurozumi Tama']",Shinuchi,Alive,,1,0,0,0,,,,,Artificial Zoan,
108,Beeyo,658.0,,,Alive,,0,0,0,0,,,,,,
109,Bizarre,553.0,['Subordinate of the Whitebeard Pirates'],Pirate,Alive,February 3,0,0,0,0,,,,,,
110,,,,,,,0,0,0,0,,,,,,
111,Bjorn,1134.0,['Walrus School'],Student,Alive,,0,0,0,0,,,,,,
112,Black Maria,977.0,['Beasts Pirates (Tobiroppo)'],Shinuchi,Alive,September 24,1,1,1,0,Grand Line,29.0,820.0,S,Ancient Zoan,480000000.0
113,BBBB,805.0,"['Mokomo Dukedom', ' Guardians', ' ', ' Ninja-Pirate-Mink-Samurai Alliance (disbanded)']",Guardian,Alive,,0,0,0,0,,,,,,
114,Blade,1142.0,['Walrus School'],Math Teacher,Alive,,0,0,0,0,,,,,,
