,Official English Name,affiliation,member
0,A.O.,A O Pirates,1
1,Abdullah,Ideo Pirates,1
2,Absalom,Thriller Bark Pirates,1
3,Ageha Woman,Beasts Pirates,1
4,Alpaca-Man,Beasts Pirates,1
5,Alvida,Buggy Pirates,1
6,Alvida,Cross Guild,1
7,Ankoro,Flying Pirates,1
8,Aphelandra,Kuja Pirates,1
9,Aristocroc,Big Mom Pirates,1
10,Avalo Pizarro,Blackbeard Pirates,1
11,Babanuki,Beasts Pirates,1
12,Bakula,Kuja Pirates,1
13,Bao Huang,Beasts Pirates,1
14,Basil Hawkins,Beasts Pirates,1
15,Basil Hawkins,Hawkins Pirates,1
16,Batman,Beasts Pirates,1
17,Baxcon,Tontatta Pirates,1
18,Bee-Girl,Beasts Pirates,1
19,Beetle-Man,Beasts Pirates,1
20,Benn Beckman,Red Hair Pirates,1
21,Bepo,Heart Pirates,1
22,Bian,Tontatta Pirates,1
23,Big Bun,Foxy Pirates,1
24,Bishamon,Beasts Pirates,1
25,Bishonure-Onna,Beasts Pirates,1
26,Bisley,Beasts Pirates,1
27,Black Maria,Beasts Pirates,1
28,Blue Gilly,Ideo Pirates,1
29,Bluefan,Kuja Pirates,1
30,Bluejam,Bluejam Pirates,1
31,Boa Hancock,Kuja Pirates,1
32,Boa Marigold,Kuja Pirates,1
33,Boa Sandersonia,Kuja Pirates,1
34,Bobbin,Big Mom Pirates,1
35,Bobomba,Tontatta Pirates,1
36,Bomba,Tontatta Pirates,1
37,Bonk Punch,Red Hair Pirates,1
38,Boogie,Kid Pirates,1
39,Bouche,Big Mom Pirates,1
40,Briscola,Beasts Pirates,1
41,Brogy,Giant Warrior Pirates,1
42,Brook,Straw Hat Pirates,1
43,Browndros BeardriguezChadros Higelyges,Brownbeard Pirates,1
44,Bubblegum,Kid Pirates,1
45,Buchi,Black Cat Pirates,1
46,Buggy,Buggy Pirates,1
47,Buggy,Cross Guild,1
48,Building Snake,Red Hair Pirates,1
49,Cabaji,Buggy Pirates,1
50,Cabaji,Cross Guild,1
51,Caiman Lady,Beasts Pirates,1
52,Camel,Blackbeard Pirates,1
53,Candy,Candy Pirates,1
54,Capone Bege,Fire Tank Pirates,1
55,Capone Bege,Big Mom Pirates,1
56,Capone Pez,Fire Tank Pirates,1
57,Capote,Foxy Pirates,1
58,Caribou,Caribou Pirates,1
59,Catarina Devon,Blackbeard Pirates,1
60,Caucasus-Man,Beasts Pirates,1
61,Cavendish,Beautiful Pirates,1
62,Cerberus,Thriller Bark Pirates,1
63,Cerberus,Thriller Bark Pirates,1
64,Chao,Tontatta Pirates,1
65,Charlotte Akimeg,Big Mom Pirates,1
66,Charlotte Allmeg,Big Mom Pirates,1
67,Charlotte Amande,Big Mom Pirates,1
68,Charlotte Anana,Big Mom Pirates,1
69,Charlotte Angel,Big Mom Pirates,1
70,Charlotte Anglaise,Big Mom Pirates,1
71,Charlotte Basans,Big Mom Pirates,1
72,Charlotte Bassquarte,Big Mom Pirates,1
73,Charlotte Bavarois,Big Mom Pirates,1
74,Charlotte Brownie,Big Mom Pirates,1
75,Charlotte Broye,Big Mom Pirates,1
76,Charlotte Brulee,Big Mom Pirates,1
77,Charlotte Cabaletta,Big Mom Pirates,1
78,Charlotte Cadenza,Big Mom Pirates,1
79,Charlotte Chiboust,Big Mom Pirates,1
80,Charlotte Chiffon,Fire Tank Pirates,1
81,Charlotte Cinnamon,Big Mom Pirates,1
82,Charlotte Citron,Big Mom Pirates,1
83,Charlotte Compo,Big Mom Pirates,1
84,Charlotte Compote,Big Mom Pirates,1
85,Charlotte Cornstarch,Big Mom Pirates,1
86,Charlotte Counter,Big Mom Pirates,1
87,Charlotte Cracker,Big Mom Pirates,1
88,Charlotte Custard,Big Mom Pirates,1
89,Charlotte Dacquoise,Big Mom Pirates,1
90,Charlotte Daifuku,Big Mom Pirates,1
91,Charlotte Dolce and Dragée,Big Mom Pirates,1
92,Charlotte Dolce and Dragée,Big Mom Pirates,1
93,Charlotte Dosmarche,Big Mom Pirates,1
94,Charlotte Effiler,Big Mom Pirates,1
95,Charlotte Flampe,Big Mom Pirates,1
96,Charlotte Fuyumeg,Big Mom Pirates,1
97,Charlotte Galette,Big Mom Pirates,1
98,Charlotte Hachee,Big Mom Pirates,1
99,Charlotte Harumeg,Big Mom Pirates,1
100,Charlotte High-Fat,Big Mom Pirates,1
101,Charlotte Joconde,Big Mom Pirates,1
102,Charlotte Joscarpone,Big Mom Pirates,1
103,Charlotte Kanten,Big Mom Pirates,1
104,Charlotte Katakuri,Big Mom Pirates,1
105,Charlotte Laurin,Big Mom Pirates,1
106,Charlotte Linlin,Big Mom Pirates,1
107,Charlotte Lola,Rolling Pirates,1
108,Charlotte Maple,Big Mom Pirates,1
109,Charlotte Marble,Big Mom Pirates,1
110,Charlotte Marnier,Big Mom Pirates,1
111,Charlotte Mascarpone,Big Mom Pirates,1
112,Charlotte Mash,Big Mom Pirates,1
113,Charlotte Melise,Big Mom Pirates,1
114,Charlotte Mobile,Big Mom Pirates,1
115,Charlotte Monder,Big Mom Pirates,1
116,Charlotte Montb,Big Mom Pirates,1
117,Charlotte Montd'OrCharlotte Mont-d'Or,Big Mom Pirates,1
118,Charlotte Moscato,Big Mom Pirates,1
119,Charlotte Mozart,Big Mom Pirates,1
120,Charlotte Myukuru,Big Mom Pirates,1
121,Charlotte Newshi,Big Mom Pirates,1
122,Charlotte Noisette,Big Mom Pirates,1
123,Charlotte Nougat,Big Mom Pirates,1
124,Charlotte Nusstorte,Big Mom Pirates,1
125,Charlotte Nutmeg,Big Mom Pirates,1
126,Charlotte Opera,Big Mom Pirates,1
127,Charlotte Oven,Big Mom Pirates,1
128,Charlotte Panna,Big Mom Pirates,1
129,Charlotte Perospero,Big Mom Pirates,1
130,Charlotte Poire,Big Mom Pirates,1
131,Charlotte Praline,Big Mom Pirates,1
132,Charlotte Prim,Big Mom Pirates,1
133,Charlotte Pudding,Big Mom Pirates,1
134,Charlotte Raisin,Big Mom Pirates,1
135,Charlotte Saintmarc,Big Mom Pirates,1
136,Charlotte Smoothie,Big Mom Pirates,1
137,Charlotte Snack,Big Mom Pirates,1
138,Charlotte Tablet,Big Mom Pirates,1
139,Charlotte Yuen,Big Mom Pirates,1
140,Charlotte Zuccotto,Big Mom Pirates,1
141,Chess,Bliking Pirates,1
142,Chessmarimo,Bliking Pirates,1
143,Chochin-Man,Beasts Pirates,1
144,Chome,Beasts Pirates,1
