,name,recent_freq,total_appearances,activity_score
0,A.O.,0.0,7,0.002328159645232816
1,Abdullah,0.01,22,0.014317073170731706
2,Absalom,0.0,17,0.00565410199556541
3,Abscondo,0.0,0,0.0
4,Adelle,0.0,2,0.0006651884700665188
5,Aegir,0.03,3,0.021997782705099778
6,Ageha Woman,0.0,1,0.0003325942350332594
7,Aggie 68,0.0,0,0.0
8,Agilia,0.0,2,0.0006651884700665188
9,Agotogi,0.0,0,0.0
10,Agushily,0.0,1,0.0003325942350332594
11,Agyo,0.0,0,0.0
12,Ahiru,0.05,7,0.03732815964523281
13,Aisa,0.01,29,0.01664523281596452
14,Akudai Kanzaburo,0.0,1,0.0003325942350332594
15,Akumai,0.0,7,0.002328159645232816
16,Aladdin,0.0,13,0.004323725055432372
17,Albion,0.0,2,0.0006651884700665188
18,Alice,0.02,2,0.014665188470066518
19,Ally,0.0,11,0.0036585365853658534
20,Alpaca-Man,0.0,2,0.0006651884700665188
21,Alpha,0.02,2,0.014665188470066518
22,Alvida,0.02,13,0.01832372505543237
23,Amadob,0.0,3,0.0009977827050997783
24,Amazon,0.0,3,0.0009977827050997783
25,Anba,0.0,1,0.0003325942350332594
26,Andre,0.0,11,0.0036585365853658534
27,Ange,0.15,15,0.10998891352549889
28,Anjo,0.0,0,0.0
29,Ankoro,0.0,2,0.0006651884700665188
30,Antlerkov,0.0,0,0.0
31,Antonio,0.0,1,0.0003325942350332594
32,Aphelandra,0.0,9,0.0029933481152993346
33,Aramaki,0.01,6,0.008995565410199555
34,Aristocroc,0.0,3,0.0009977827050997783
35,Arlong,0.0,26,0.008647450110864744
36,Arthur,0.0,3,0.0009977827050997783
37,Aruyutayan V,0.0,1,0.0003325942350332594
38,Asashichi,0.0,1,0.0003325942350332594
39,Ashura Doji,0.0,45,0.014966740576496673
40,Asla,0.01,1,0.007332594235033259
41,Aswa,0.0,0,0.0
42,Atagoyama,0.0,1,0.0003325942350332594
43,Atmos,0.0,14,0.004656319290465632
44,Attach,0.01,3,0.007997782705099777
45,Avalo Pizarro,0.04,10,0.03132594235033259
46,BBBB,0.0,18,0.005986696230598669
47,Babanuki,0.0,14,0.004656319290465632
48,Babe,0.0,0,0.0
49,Baburu,0.0,0,0.0
50,Baby Five,0.0,39,0.012971175166297116
51,Bacchy,0.0,1,0.0003325942350332594
52,Baggaly,0.0,1,0.0003325942350332594
53,Bakula,0.0,3,0.0009977827050997783
54,Ban Dedessinée,0.0,2,0.0006651884700665188
55,Bancro,0.01,4,0.008330376940133038
56,Bankina,0.0,0,0.0
57,Banshee,0.0,0,0.0
58,Banzaburo,0.0,4,0.0013303769401330377
59,Bao Huang,0.0,9,0.0029933481152993346
60,Barbell,0.05,5,0.036662971175166294
61,Bariete,0.0,9,0.0029933481152993346
62,Barry,0.0,0,0.0
63,Bartholomew Kuma,0.27,63,0.20995343680709533
64,Bartolomeo,0.01,60,0.026955654101995564
65,Basil Hawkins,0.0,38,0.012638580931263858
66,Basilisk,0.0,2,0.0006651884700665188
67,Baskerville,0.0,0,0.0
68,Bastille,0.0,20,0.0066518847006651885
69,Batman,0.0,2,0.0006651884700665188
70,Baxcon,0.0,10,0.0033259423503325942
71,Bazeko,0.0,0,0.0
72,Beak Remark,0.0,1,0.0003325942350332594
73,Bean-Washing Hag,0.0,7,0.002328159645232816
74,Bee-Girl,0.0,3,0.0009977827050997783
75,Beer VI,0.0,5,0.0016629711751662971
76,Beetle-Man,0.0,1,0.0003325942350332594
77,Beeyo,0.0,16,0.005321507760532151
78,Bekori,0.02,2,0.014665188470066518
79,Belladonna,0.01,4,0.008330376940133038
80,Bellamy,0.0,35,0.01164079822616408
81,Belle-Mère,0.0,3,0.0009977827050997783
82,Bellett,0.0,1,0.0003325942350332594
83,Belo Betty,0.07,13,0.053323725055432376
84,Benn Beckman,0.02,12,0.01799113082039911
85,Bent,0.15,15,0.10998891352549889
86,Bentham,0.0,17,0.00565410199556541
87,Bepo,0.02,51,0.030962305986696227
88,Berry,0.0,0,0.0
89,Berry Good,0.0,2,0.0006651884700665188
90,Bian,0.01,21,0.013984478935698447
91,Biblo,0.04,4,0.029330376940133036
92,Big Bun,0.0,5,0.0016629711751662971
93,Bimine,0.0,0,0.0
94,Bingoh,0.0,2,0.0006651884700665188
95,Birdy,0.0,3,0.0009977827050997783
96,Bishamon,0.0,6,0.0019955654101995565
97,Bishonure-Onna,0.0,5,0.0016629711751662971
98,Bisley,0.0,4,0.0013303769401330377
99,Bizarre,0.0,4,0.0013303769401330377
100,Bjorn,0.14,14,0.10265631929046563
101,Black Maria,0.0,14,0.004656319290465632
102,Blackbeard,0.0,0,0.0
103,Blade,0.02,2,0.014665188470066518
104,Blakey,0.0,1,0.0003325942350332594
105,Blamenco,0.0,7,0.002328159645232816
106,Blenheim,0.0,13,0.004323725055432372
107,Blockhead,0.0,1,0.0003325942350332594
108,Blondie,0.0,5,0.0016629711751662971
109,Blue Gilly,0.0,20,0.0066518847006651885
110,Bluefan,0.0,4,0.0013303769401330377
111,Bluegrass,0.09,9,0.06599334811529933
112,Bluejam,0.0,4,0.0013303769401330377
113,Bluemarine,0.01,2,0.0076651884700665186
114,Blueno,0.01,33,0.01797560975609756
115,Boa Hancock,0.02,43,0.02830155210643015
116,Boa Marigold,0.01,15,0.011988913525498891
117,Boa Sandersonia,0.01,15,0.011988913525498891
118,Bobbin,0.0,8,0.0026607538802660754
119,Bobby Funk,0.0,7,0.002328159645232816
120,Bobomba,0.0,14,0.004656319290465632
121,Bogard,0.04,8,0.030660753880266074
122,Bomba,0.0,35,0.01164079822616408
123,Bongoh,0.0,2,0.0006651884700665188
124,Bonk Punch,0.01,6,0.008995565410199555
125,Boo,0.0,21,0.006984478935698447
126,Boodle,0.01,6,0.008995565410199555
127,Boogie,0.01,5,0.008662971175166297
128,Borsalino,0.19,27,0.14198004434589798
129,Boss,0.0,3,0.0009977827050997783
130,Bouche,0.0,2,0.0006651884700665188
131,Boxer,0.0,2,0.0006651884700665188
132,Braham,0.01,12,0.010991130820399111
133,Brannew,0.01,9,0.009993348115299333
134,Brew,0.0,2,0.0006651884700665188
135,Briscola,0.0,7,0.002328159645232816
136,Brocca,0.0,1,0.0003325942350332594
137,Brogy,0.39,52,0.29029490022172943
138,Brontosaurus,0.0,2,0.0006651884700665188
139,Brook,0.39,315,0.3777671840354767
140,Browndros BeardriguezChadros Higelyges,0.0,0,0.0
141,Bubblegum,0.01,5,0.008662971175166297
142,Buchi,0.0,6,0.0019955654101995565
143,Buckingham Stussy,0.1,11,0.07365853658536585
144,Buckox,0.01,2,0.0076651884700665186
145,Buffalo,0.0,16,0.005321507760532151
146,Buggy,0.04,66,0.04995121951219512
147,Building Snake,0.0,2,0.0006651884700665188
148,Bulldog,0.01,1,0.007332594235033259
149,Bunbuku,0.0,2,0.0006651884700665188
150,Bunch,0.0,4,0.0013303769401330377
151,Bungoh,0.0,2,0.0006651884700665188
152,Bunkov,0.02,9,0.016993348115299334
153,Bunny Joe,0.0,2,0.0006651884700665188
154,Burn ScarThe Man with the Burn Scar,0.0,0,0.0
155,Burr,0.0,2,0.0006651884700665188
156,Bushon,0.0,3,0.0009977827050997783
157,Busshiri,0.0,4,0.0013303769401330377
158,Byron,0.0,1,0.0003325942350332594
159,CB Gallant,0.02,5,0.015662971175166296
160,Cabaji,0.01,14,0.011656319290465633
161,Caesar Clown,0.02,60,0.03395565410199557
162,Caiman Lady,0.0,2,0.0006651884700665188
163,Calicoach,0.0,4,0.0013303769401330377
164,Camel,0.0,0,0.0
165,Camie,0.01,44,0.021634146341463413
166,Cancer,0.0,6,0.0019955654101995565
167,Candy,0.0,0,0.0
168,Cans,0.0,1,0.0003325942350332594
169,Capone Bege,0.0,40,0.013303769401330377
170,Capone Pez,0.0,13,0.004323725055432372
171,Capote,0.0,6,0.0019955654101995565
172,Carelesso,0.0,1,0.0003325942350332594
