,name,chapter,appeared,rolling_appearance
93,Benn Beckman,1,1,
135,Bonk Punch,1,1,
286,Chicken,1,1,
535,Gyoru,1,1,
579,Higuma,1,1,
608,Hongo,1,1,
841,Limejuice,1,1,
851,Lord of the Coast,1,1,
853,Lucky Roux,1,1,
867,Makino,1,1,
962,Monkey D. Luffy,1,1,
963,Monster,1,1,
1281,Shanks,1,1,
1511,Woop Slap,1,1,
1522,Yasopp,1,1,
1579,Alvida,2,1,1.0
2126,Heppoko,2,1,1.0
2329,Koby,2,1,1.0
2517,Monkey D. Luffy,2,1,8.0
2664,Peppoko,2,1,1.0
2681,Poppoko,2,1,1.0
3680,Helmeppo,3,1,1.0
3884,Koby,3,1,1.0
4072,Monkey D. Luffy,3,1,18.0
4288,Rika,3,1,1.0
4315,Roronoa Zoro,3,1,10.0
5235,Helmeppo,4,1,1.0
5439,Koby,4,1,1.0
5627,Monkey D. Luffy,4,1,17.0
5634,Morgan,4,1,1.0
5843,Rika,4,1,1.0
5850,Ririka,4,1,1.0
5864,Rokkaku,4,1,1.0
5870,Roronoa Zoro,4,1,18.0
6108,Ukkari,4,1,1.0
6790,Helmeppo,5,1,1.0
6994,Koby,5,1,1.0
7182,Monkey D. Luffy,5,1,22.0
7189,Morgan,5,1,1.0
7425,Roronoa Zoro,5,1,20.0
8345,Helmeppo,6,1,3.0
8549,Koby,6,1,3.0
8737,Monkey D. Luffy,6,1,17.0
8744,Morgan,6,1,1.0
8980,Roronoa Zoro,6,1,7.0
10104,Koby,7,1,1.0
10292,Monkey D. Luffy,7,1,22.0
10508,Rika,7,1,1.0
10514,Ripper,7,1,2.0
10515,Ririka,7,1,1.0
10535,Roronoa Zoro,7,1,22.0
11847,Monkey D. Luffy,8,1,19.0
11897,Nami,8,1,4.0
12003,Pinky,8,1,1.0
12090,Roronoa Zoro,8,1,17.0
12595,Buggy,9,1,1.0
12605,Cabaji,9,1,1.0
12816,Domo-kun,9,1,1.0
13393,Mohji,9,1,1.0
13402,Monkey D. Luffy,9,1,22.0
13452,Nami,9,1,20.0
13617,Richie,9,1,1.0
13645,Roronoa Zoro,9,1,3.0
14150,Buggy,10,1,
14957,Monkey D. Luffy,10,1,
15007,Nami,10,1,
15200,Roronoa Zoro,10,1,
15705,Buggy,11,1,2.0
16512,Monkey D. Luffy,11,1,9.0
16562,Nami,11,1,8.0
16755,Roronoa Zoro,11,1,9.0
17242,Boodle,12,1,1.0
17260,Buggy,12,1,2.0
17405,Chouchou,12,1,1.0
18058,Mohji,12,1,1.0
18067,Monkey D. Luffy,12,1,8.0
18117,Nami,12,1,9.0
18282,Richie,12,1,1.0
18310,Roronoa Zoro,12,1,8.0
18797,Boodle,13,1,2.0
18815,Buggy,13,1,3.0
18960,Chouchou,13,1,2.0
19613,Mohji,13,1,2.0
19622,Monkey D. Luffy,13,1,18.0
19672,Nami,13,1,17.0
19837,Richie,13,1,2.0
20352,Boodle,14,1,3.0
20370,Buggy,14,1,3.0
20515,Chouchou,14,1,3.0
21168,Mohji,14,1,3.0
21177,Monkey D. Luffy,14,1,25.0
21227,Nami,14,1,23.0
21345,Poro,14,1,1.0
21420,Roronoa Zoro,14,1,16.0
21907,Boodle,15,1,3.0
21925,Buggy,15,1,3.0
21935,Cabaji,15,1,1.0
22732,Monkey D. Luffy,15,1,22.0
22782,Nami,15,1,18.0
22975,Roronoa Zoro,15,1,12.0
23480,Buggy,16,1,3.0
23490,Cabaji,16,1,2.0
24278,Mohji,16,1,2.0
24287,Monkey D. Luffy,16,1,22.0
24337,Nami,16,1,17.0
24502,Richie,16,1,1.0
