,Official English Name,Birthday,Devil Fruit,Observation Haki,Armament Haki,Conquerers Haki,Origin,Age,Height,Blood Type,Bounty,norm_bounty,haki_score,recent_freq,total_appearances,activity_score,alive,affiliation,total_bounty,norm_crew_bounty,road_poneglyph,crew_score,closeness
0,A.O.,January 15,0,0,0,0,,,,,,,0.0,,,,False,A O Pirates,0.0,0.0,0.0,0.0,0.0
1,Abdullah,,0,0,0,0,,,,,,,0.0,0.01,22.0,0.014317073170731706,True,Ideo Pirates,0.0,0.0,0.0,0.0,
2,Absalom,December 30,1,0,0,0,West Blue,34.0,195.0,F,,,0.0,0.0,17.0,0.00565410199556541,False,Thriller Bark Pirates,1290000000.0,0.8952551897523089,0.0,0.5371531138513853,0.0
3,Agilia,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
4,Adelle,,0,0,0,0,Grand Line,,,,,,0.0,,,,True,,,,,,
5,Aegir,,0,0,0,0,,,,,,,0.0,0.03,3.0,0.021997782705099778,True,,,,,,
6,Ageha Woman,,1,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
7,Aggie 68,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
8,Agotogi,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
9,Agushily,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
10,Agyo,November 29,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
11,Dumas Regal IX,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
12,Dumas Fayes,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
13,Ahiru,,0,0,0,0,,,,,,,0.0,0.05,7.0,0.03732815964523281,True,,,,,,
14,Aisa,January 3,0,1,0,0,Sky Islands,9.0,140.0,F,,,0.1,0.01,29.0,0.01664523281596452,True,,,,,,
15,Uweshall Notpass,,0,0,0,0,,,,,200000000.0,0.8517852302643466,0.0,,,,True,,,,,,
16,Akudai Kanzaburo,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
17,Akumai,December 27,0,0,0,0,Grand Line,,,,,,0.0,0.0,7.0,0.002328159645232816,True,,,,,,
18,Aladdin,January 31,0,0,0,0,Grand Line,46.0,627.0,XF,0.0,0.0,0.0,,,,True,,,,,,
19,Albion,November 9,0,0,0,0,,,,,92000000.0,0.8171801395828818,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
20,Alice,,0,0,0,0,,8.0,,,,,0.0,0.02,2.0,0.014665188470066518,True,,,,,,
21,Ally,,0,0,0,0,,,,,,,0.0,0.0,11.0,0.0036585365853658534,True,,,,,,
22,Alpaca-Man,,1,0,0,0,,,,,,,0.0,,,,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
23,Alpha,,0,0,0,0,,27.0,,,,,0.0,0.02,2.0,0.014665188470066518,True,,,,,,
24,Alvida,March 14,1,0,0,0,East Blue,25.0,198.0,S,5000000.0,0.6873946706794605,0.0,0.02,13.0,0.01832372505543237,True,Cross Guild,8848000000.0,0.9774301107626138,0.0,0.5864580664575683,0.32717475950643826
25,Amadob,June 20,0,0,0,0,,,,,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
26,Amazon,August 4,0,0,0,0,Grand Line,77.0,120.0,X,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
27,Ratherby Seifer,January 31,0,0,0,0,Grand Line,,,,15000000.0,0.7363530274855393,0.0,,,,True,,,,,,
28,Anba,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,False,,,,,,0.0
29,Baskerville,March 30,0,0,0,0,Grand Line,48.0,512.0,Bas: X And: XF Kerville: F,,,0.0,,,,False,,,,,,0.0
30,Andre,May 19,0,0,0,0,,,,,,,0.0,0.0,11.0,0.0036585365853658534,True,,,,,,
31,Ange,,0,0,0,0,,,,,,,0.0,0.15,15.0,0.10998891352549889,True,,,,,,
32,Anjo,January 1,0,0,0,0,East Blue,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
33,Ankoro,November 23,0,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,Flying Pirates,0.0,0.0,0.0,0.0,
34,Antonio,January 21,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
35,Aphelandra,August 1,0,0,0,0,Calm Belt,,,,,,0.0,0.0,9.0,0.0029933481152993346,True,Kuja Pirates,1739000000.0,0.9080011743060034,0.0,0.544800704583602,
36,Aramaki,February 29,1,1,1,0,South Blue,41.0,308.0,X,3000000000.0,0.9724662978477102,0.4,0.01,6.0,0.008995565410199555,True,,,,,,
37,Peekatha Krotch,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
38,Arlong,May 3,0,0,0,0,Grand Line,39.0,263.0,F,20000000.0,0.7491732394825036,0.0,0.0,26.0,0.008647450110864744,True,,,,,,
39,Kicking Claw Force,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
40,Arthur,,0,0,0,0,,,,,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
41,Aruyutayan V,,0,0,0,0,North Blue,,,,,,0.0,0.0,1.0,0.0003325942350332594,False,,,,,,0.0
42,Heercomes Dasun,,0,0,0,0,,,,,100000.0,0.5130604095720691,0.0,,,,True,,,,,,
43,Asashichi,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
44,Ashura Doji,April 10,0,1,1,0,Grand Line,,544.0,X,,,0.4,0.0,45.0,0.014966740576496673,False,,,,,,0.0
45,Asla,,0,0,0,0,,,,,,,0.0,0.01,1.0,0.007332594235033259,False,,,,,,0.0
46,Aswa,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,False,,,,,,0.0
47,Atagoyama,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
48,,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
49,Atmos,March 19,0,0,0,0,West Blue,,,,,,0.0,0.0,14.0,0.004656319290465632,True,,,,,,
50,Attach,,0,0,0,0,,,,,,,0.0,0.01,3.0,0.007997782705099777,False,,,,,,0.0
51,Avalo Pizarro,September 30,1,0,0,0,North Blue,40.0,505.0,X,0.0,0.0,0.0,0.04,10.0,0.03132594235033259,True,Blackbeard Pirates,4246200000.0,0.9460987312641302,2.0,0.7676592387584782,0.15979703622176217
52,Eiyess Emmar,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
53,Bean-Washing Hag,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
54,Babanuki,,1,0,0,0,,,,,,,0.0,0.0,14.0,0.004656319290465632,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
55,Babe,June 19,0,0,0,0,Grand Line,28.0,218.0,F,3200000.0,0.667506416581306,0.0,0.0,0.0,0.0,True,,,,,,
56,Baburu,,0,0,0,0,Grand Line,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
57,Baby Five,May 15,1,0,0,0,North Blue,24.0,181.0,XF,,,0.0,,,,True,,,,,,
58,Bakula,November 29,0,0,0,0,Calm Belt,,,,,,0.0,,,,True,Kuja Pirates,1739000000.0,0.9080011743060034,0.0,0.544800704583602,
59,Baggaly,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
60,Bazeko,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
61,Ban Dedessinée,,0,0,0,0,East Blue,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
