source,target,weight,x1,y1,x2,y2
Browndros BeardriguezChadros Higelyges,Chappe,2,-0.40247092187002237,0.1949687560943179,-0.40910525113863044,0.20648764183978702
Browndros BeardriguezChadros Higelyges,Dragon Number Twenty-One,1,-0.40247092187002237,0.1949687560943179,-0.3567928912175935,0.2621760525915764
Browndros BeardriguezChadros Higelyges,Fen Bock,2,-0.40247092187002237,0.1949687560943179,-0.4209241287914588,0.1941350425069768
Browndros BeardriguezChadros Higelyges,Hyoutauros,2,-0.40247092187002237,0.1949687560943179,-0.40847489039422136,0.2107220384254942
Browndros BeardriguezChadros Higelyges,Kirintauros,2,-0.40247092187002237,0.1949687560943179,-0.4157641309702446,0.20106961695488218
Browndros BeardriguezChadros Higelyges,Monet,1,-0.40247092187002237,0.1949687560943179,-0.23465246538902554,0.130506539683374
Browndros BeardriguezChadros Higelyges,Lun,2,-0.40247092187002237,0.1949687560943179,-0.41361515536329185,0.21291432334335972
Browndros BeardriguezChadros Higelyges,Yeti Cool Brothers,1,-0.40247092187002237,0.1949687560943179,-0.4099366963806486,0.19697763556959627
Browndros BeardriguezChadros Higelyges,Smiley,1,-0.40247092187002237,0.1949687560943179,-0.4107409569244453,0.19124445787181088
Browndros BeardriguezChadros Higelyges,Smoothy,2,-0.40247092187002237,0.1949687560943179,-0.40065093392423545,0.19949063002918918
Chappe,Dragon Number Twenty-One,1,-0.40910525113863044,0.20648764183978702,-0.3567928912175935,0.2621760525915764
Chappe,Fen Bock,2,-0.40910525113863044,0.20648764183978702,-0.4209241287914588,0.1941350425069768
Chappe,Hyoutauros,2,-0.40910525113863044,0.20648764183978702,-0.40847489039422136,0.2107220384254942
Chappe,Kirintauros,2,-0.40910525113863044,0.20648764183978702,-0.4157641309702446,0.20106961695488218
Chappe,Monet,1,-0.40910525113863044,0.20648764183978702,-0.23465246538902554,0.130506539683374
Chappe,Lun,2,-0.40910525113863044,0.20648764183978702,-0.41361515536329185,0.21291432334335972
Chappe,Yeti Cool Brothers,1,-0.40910525113863044,0.20648764183978702,-0.4099366963806486,0.19697763556959627
Chappe,Smiley,1,-0.40910525113863044,0.20648764183978702,-0.4107409569244453,0.19124445787181088
Chappe,Smoothy,2,-0.40910525113863044,0.20648764183978702,-0.40065093392423545,0.19949063002918918
Dragon Number Twenty-One,Fen Bock,1,-0.3567928912175935,0.2621760525915764,-0.4209241287914588,0.1941350425069768
